brand,model,fuel,build_year,mileage_km,transmission,body_type,title,price_cents,url
Alfa Romeo,MiTo,Benzine,2014,151946,Handgeschakeld,Hatchback,"Alfa Romeo MiTo 0.9 TwinAir Progression | Airco | 16"" Velgen",448800,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410908231-alfa-romeo-mito-0-9-twinair-progression-airco-16-velgen
Alfa Romeo,Spider,Benzine,2007,147611,Handgeschakeld,Cabriolet,Alfa Romeo Spider 2.2 JTS CARPLAY NAVI LEER LM CRUISE ECC ST,1050000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410907186-alfa-romeo-spider-2-2-jts-carplay-navi-leer-lm-cruise-ecc-st
Alfa Romeo,MiTo,Benzine,2009,222677,Handgeschakeld,Hatchback,Alfa Romeo MiTo 1.4 Progression (bj 2009),299900,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410902257-alfa-romeo-mito-1-4-progression-bj-2009
Alfa Romeo,MiTo,Diesel,2014,189491,Handgeschakeld,Hatchback,Alfa Romeo MiTo 1.3 JTDm ECO Esclusivo * APK tot 02-2027 *,349900,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410902180-alfa-romeo-mito-1-3-jtdm-eco-esclusivo-apk-tot-02-2027
Alfa Romeo,147,Benzine,2003,286594,Handgeschakeld,Hatchback,Alfa Romeo 147 1.6 T.spark 16V 77KW 5DR 2003 Blauw,115000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410898368-alfa-romeo-147-1-6-t-spark-16v-77kw-5dr-2003-blauw
Alfa Romeo,147,Benzine,2004,204267,Handgeschakeld,Hatchback,Alfa Romeo 147 2.0 T.Spark Edizione Esclusiva - LEES TEKST !,119900,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410895184-alfa-romeo-147-2-0-t-spark-edizione-esclusiva-lees-tekst
Alfa Romeo,Spider,Benzine,1997,128001,Handgeschakeld,Cabriolet,Alfa Romeo Spider 2.0-16V T.Spark L CABRIO Airco NAP Zwart-L,399500,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410852910-alfa-romeo-spider-2-0-16v-t-spark-l-cabrio-airco-nap-zwart-l
Alfa Romeo,,Benzine,1977,,,Coupé,"Alfa Romeo  Alfetta GTV 2000 , 1977 Rood",1590000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2400881045-alfa-romeo-alfetta-gtv-2000-1977-rood
Alfa Romeo,MiTo,Benzine,2009,249722,Handgeschakeld,Hatchback,Alfa Romeo MiTo 1.4 T NAVI|CRUISE|AIRCO|155PK|LM VELGEN,225000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410867287-alfa-romeo-mito-1-4-t-navi-cruise-airco-155pk-lm-velgen
Alfa Romeo,Giulia,Benzine,2020,131291,Automaat,Sedan,Alfa Romeo Giulia 2.0T Super/CARPLAY/CRUISE/CAMERA,2690000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2404054927-alfa-romeo-giulia-2-0t-super-carplay-cruise-camera
Alfa Romeo,,Benzine,1982,73349,,Sedan,Alfa Romeo Alfa-romeo 1982 Grijs,995000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2380372061-alfa-romeo-alfa-romeo-1982-grijs
Alfa Romeo,MiTo,Benzine,2012,150822,Handgeschakeld,Hatchback,Alfa Romeo MiTo 1.4 Distinctive,495000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410854155-alfa-romeo-mito-1-4-distinctive
Alfa Romeo,MiTo,Benzine,2015,200199,Handgeschakeld,Hatchback,Alfa Romeo MiTo 0.9 Turbo Twinair 100PK ‘15 Grijs NAVI/CLIMA,429500,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2403305604-alfa-romeo-mito-0-9-turbo-twinair-100pk-15-grijs-navi-clima
Alfa Romeo,MiTo,Benzine,2018,130858,Handgeschakeld,Hatchback,Alfa Romeo MiTo 0.9 TwinAir ECO Super,698500,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410844006-alfa-romeo-mito-0-9-twinair-eco-super
Alfa Romeo,Stelvio,Benzine,2018,96482,Automaat,SUV of Terreinwagen,Alfa Romeo STELVIO 2.0 T AWD Super Q4 - 280pk,2695000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410842164-alfa-romeo-stelvio-2-0-t-awd-super-q4-280pk
Alfa Romeo,Giulietta,Benzine,2015,93204,Automaat,Hatchback,Alfa Romeo Giulietta 1.7 TBi QV Competizione Rosso,1949500,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410842092-alfa-romeo-giulietta-1-7-tbi-qv-competizione-rosso
Alfa Romeo,Giulia,Benzine,2018,129058,Automaat,Sedan,"Alfa Romeo Giulia 2.0T Super - 19"" - Rosso Alfa",2295000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410842042-alfa-romeo-giulia-2-0t-super-19-rosso-alfa
Alfa Romeo,4C,Benzine,2016,12402,Automaat,Coupé,Alfa Romeo 4C 1750TBI | Rosso Comp. | Carbon kopl. | Vol led,8450000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410827878-alfa-romeo-4c-1750tbi-rosso-comp-carbon-kopl-vol-led
Alfa Romeo,Giulia,Benzine,2025,25,Automaat,Sedan,Alfa Romeo Giulia 2.9 V6 Quadrifoglio MY26 | Facelift | Carb,14750000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410827819-alfa-romeo-giulia-2-9-v6-quadrifoglio-my26-facelift-carb
Alfa Romeo,Stelvio,Benzine,2021,45435,Automaat,SUV of Terreinwagen,Alfa Romeo Stelvio 2.9 V6 AWD Quadrifoglio | Harman/Kardon |,7650000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410827780-alfa-romeo-stelvio-2-9-v6-awd-quadrifoglio-harman-kardon
Alfa Romeo,Giulietta,Benzine,2012,256210,Handgeschakeld,Hatchback,Alfa Romeo Giulietta 1.4 T Progression AIRCO CRUISE CONT,339500,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410824246-alfa-romeo-giulietta-1-4-t-progression-airco-cruise-cont
Alfa Romeo,Giulietta,Benzine,2013,194397,Handgeschakeld,Hatchback,Alfa Romeo Giulietta 1.7 TBi Quadrifoglio Verde,925000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410819521-alfa-romeo-giulietta-1-7-tbi-quadrifoglio-verde
Alfa Romeo,Spider,Diesel,2008,276125,Handgeschakeld,Cabriolet,Alfa Romeo - Spider - 2.4 JTD Exclusive - 51-XJD-6- 2008,0,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410812835-alfa-romeo-spider-2-4-jtd-exclusive-51-xjd-6-2008
Alfa Romeo,Giulietta,Benzine,2010,295531,Handgeschakeld,MPV,2010 Alfa Romeo Giulietta 1.4 T Distinctive Personenauto,0,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410812841-2010-alfa-romeo-giulietta-1-4-t-distinctive-personenauto
Alfa Romeo,Giulietta,Benzine,2011,267661,Handgeschakeld,MPV,Alfa Romeo - Giulietta - 1.4 T Distinctive - 94-RZF-8- 2011,0,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410812623-alfa-romeo-giulietta-1-4-t-distinctive-94-rzf-8-2011
Alfa Romeo,Giulietta,Benzine,2017,84906,Handgeschakeld,Hatchback,Alfa Romeo Giulietta 1.4 Turbo MultiAir Super Pack Veloce |,1553500,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410809834-alfa-romeo-giulietta-1-4-turbo-multiair-super-pack-veloce
Alfa Romeo,Tonale,Hybride Elektrisch/Benzine,2023,61400,Automaat,SUV of Terreinwagen,Alfa Romeo Tonale 1.5T Hybrid Super | Climate control | Appl,2844000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410808155-alfa-romeo-tonale-1-5t-hybrid-super-climate-control-appl
Alfa Romeo,Spider,Benzine,2011,91326,Handgeschakeld,Cabriolet,Alfa Romeo Spider 1.7 T Italia Independent 1750 TBI,2490000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410787420-alfa-romeo-spider-1-7-t-italia-independent-1750-tbi
